,age,ed,employ,address,income,debtinc,creddebt,othdebt,default
0,41,3,17,12,176,9.3,11.359392,5.008608000000001,1.0
1,27,1,10,6,31,17.3,1.3622020000000001,4.0007980000000005,0.0
2,40,1,15,14,55,5.5,0.856075,2.168925,0.0
3,41,1,15,14,120,2.9,2.65872,0.8212799999999999,0.0
4,24,2,2,0,28,17.3,1.787436,3.056564,1.0
5,41,2,5,5,25,10.2,0.3927,2.1573,0.0
6,39,1,20,9,67,30.6,3.833874,16.668126,0.0
7,43,1,12,11,38,3.6,0.128592,1.239408,0.0
8,24,1,3,4,19,24.4,1.3583479999999999,3.277652,1.0
9,36,1,0,13,25,19.7,2.7777,2.1473,0.0
10,27,1,0,1,16,1.7,0.18251199999999998,0.089488,0.0
11,25,1,4,0,23,5.2,0.25235599999999997,0.943644,0.0
12,52,1,24,14,64,10.0,3.9296,2.4704,0.0
13,37,1,6,9,29,16.3,1.715901,3.011099,0.0
14,48,1,22,15,100,9.1,3.7037,5.3963,0.0
15,36,2,9,6,49,8.6,0.817516,3.3964839999999996,1.0
16,36,2,13,6,41,16.4,2.918216,3.8057839999999996,1.0
17,43,1,23,19,72,7.6,1.1819520000000001,4.2900480000000005,0.0
18,39,1,6,9,61,5.7,0.5632739999999999,2.913726,0.0
19,41,3,0,21,26,1.7,0.099008,0.342992,0.0
20,39,1,22,3,52,3.2,1.154816,0.509184,0.0
21,47,1,17,21,43,5.6,0.5875520000000001,1.820448,0.0
22,28,1,3,6,26,10.0,0.4316,2.1684,0.0
23,29,1,8,6,27,9.8,0.402192,2.243808,0.0
24,21,2,1,2,16,18.0,0.24191999999999997,2.63808,1.0
25,25,4,0,2,32,17.6,2.14016,3.4918400000000003,0.0
26,45,2,9,26,69,6.7,0.7073189999999999,3.9156809999999997,0.0
27,43,1,25,21,64,16.7,0.951232,9.736768,0.0
28,33,2,12,8,58,18.4,3.0842080000000003,7.587791999999999,0.0
29,26,3,2,1,37,14.2,0.204906,5.049094,0.0
30,45,1,3,15,20,2.1,0.105,0.315,0.0
31,30,1,1,10,22,10.5,1.13883,1.17117,0.0
32,27,3,2,7,26,6.0,0.72228,0.83772,0.0
33,25,1,8,4,27,14.4,1.018656,2.869344,0.0
34,25,1,8,1,35,2.9,0.07714,0.93786,0.0
35,26,2,6,7,45,26.0,6.0489,5.6511,0.0
36,30,2,10,4,22,16.1,1.409716,2.132284,0.0
37,32,2,12,1,54,14.4,3.195936,4.580064,0.0
38,28,2,1,8,24,17.1,1.337904,2.766096,1.0
39,45,1,23,5,50,4.2,0.5586,1.5414,0.0
40,23,1,7,2,31,6.6,0.33759,1.7084099999999998,0.0
41,34,1,17,3,59,8.0,1.8077599999999998,2.91224,0.0
42,42,2,7,23,41,4.6,0.9411139999999999,0.944886,0.0
43,39,1,19,5,48,13.1,1.930416,4.357583999999999,0.0
44,26,1,0,0,14,7.5,0.3024,0.7476,1.0
45,21,2,0,1,16,6.8,0.150144,0.9378559999999999,0.0
46,35,1,13,15,35,4.5,0.43155,1.14345,0.0
47,47,1,4,2,26,10.4,0.12168,2.58232,0.0
48,23,2,0,2,21,11.4,0.775656,1.618344,1.0
49,35,1,18,2,42,7.4,0.20512800000000003,2.902872,0.0
50,34,1,2,11,25,12.6,0.5733,2.5767,1.0
51,46,1,1,12,20,14.0,0.8092,1.9908,0.0
52,46,1,16,18,52,12.9,3.032016,3.6759839999999997,1.0
53,38,3,3,18,25,3.7,0.311725,0.613275,0.0
54,40,2,3,2,28,9.5,0.55328,2.10672,0.0
55,37,1,1,3,24,15.1,1.8011279999999998,1.822872,1.0
56,35,1,9,1,34,5.0,0.3978,1.3022,0.0
57,39,2,16,13,69,2.4,1.061496,0.594504,0.0
58,40,3,18,6,100,2.5,1.485,1.015,0.0
59,50,3,10,20,80,12.2,2.4790400000000004,7.28096,0.0
